target,class_label,precision,recall,f1_score,accuracy,balanced_accuracy,macro_f1,roc_auc,matthews_corr,cv_method,top1_feature,top2_feature,top3_feature,time,model,data
ef_score,0,0.9868900218499636,0.9941305942773294,0.9904970760233918,0.9813620071684588,0.7158152971386647,0.7545077972709551,0.9300486060161408,0.5186668939504966,TimeSeriesSplit,ef_money_growth,ef_money_growth_data,pf_expression_house,2.2934579849243164,RandomForest,pure
ef_score,1,0.6363636363636364,0.4375,0.5185185185185185,0.9813620071684588,0.7158152971386647,0.7545077972709551,0.9300486060161408,0.5186668939504966,TimeSeriesSplit,ef_money_growth,ef_money_growth_data,pf_expression_house,2.2934579849243164,RandomForest,pure
ef_score,0,0.9889543446244478,0.9853264856933236,0.9871370819551636,0.974910394265233,0.7582882428466617,0.7399453525717847,0.9133460198092443,0.48128996150973197,TimeSeriesSplit,ef_money_growth,ef_money_growth_data,pf_expression_direct_killed_data,5.096959114074707,XGBoost,pure
ef_score,1,0.4594594594594595,0.53125,0.4927536231884059,0.974910394265233,0.7582882428466617,0.7399453525717847,0.9133460198092443,0.48128996150973197,TimeSeriesSplit,ef_money_growth,ef_money_growth_data,pf_expression_direct_killed_data,5.096959114074707,XGBoost,pure
ef_score,0,0.986100950987564,0.9889948642699926,0.9875457875457875,0.9756272401433692,0.6976224321349963,0.7104395604395604,0.8730282465150404,0.42191588780816436,TimeSeriesSplit,pf_expression_direct_killed_data,pf_ss_disappearances_injuries_data,pf_ss_disappearances_violent,114.1459379196167,NeuralNetwork,pure
ef_score,1,0.4642857142857143,0.40625,0.4333333333333333,0.9756272401433692,0.6976224321349963,0.7104395604395604,0.8730282465150404,0.42191588780816436,TimeSeriesSplit,pf_expression_direct_killed_data,pf_ss_disappearances_injuries_data,pf_ss_disappearances_violent,114.1459379196167,NeuralNetwork,pure
ef_score,0,0.9819233550253073,0.9963316214233309,0.989075018208303,0.978494623655914,0.6075408107116654,0.6536284181950607,0.872088224504769,0.3486779675467879,TimeSeriesSplit,ef_money_growth_data,ef_money_growth,pf_expression_house,1.4775159358978271,LightGBM,pure
ef_score,1,0.5833333333333334,0.21875,0.31818181818181823,0.978494623655914,0.6075408107116654,0.6536284181950607,0.872088224504769,0.3486779675467879,TimeSeriesSplit,ef_money_growth_data,ef_money_growth,pf_expression_house,1.4775159358978271,LightGBM,pure
ef_government_tax,0,0.9890350877192983,0.9926632428466617,0.990845844013182,0.982078853046595,0.7619566214233309,0.78355851522693,0.9038311628760088,0.5693212083710655,TimeSeriesSplit,ef_money_growth_data,ef_money_growth,pf_expression_house,2.183258056640625,RandomForest,pure
ef_government_tax,1,0.6296296296296297,0.53125,0.5762711864406779,0.982078853046595,0.7619566214233309,0.78355851522693,0.9038311628760088,0.5693212083710655,TimeSeriesSplit,ef_money_growth_data,ef_money_growth,pf_expression_house,2.183258056640625,RandomForest,pure
ef_government_tax,0,0.9897209985315712,0.9889948642699926,0.9893577981651377,0.9792114695340501,0.7757474321349963,0.7716019760056457,0.9184129677182686,0.543273930896047,TimeSeriesSplit,ef_money_growth_data,pf_movement,ef_money_growth,5.5492212772369385,XGBoost,pure
ef_government_tax,1,0.5454545454545454,0.5625,0.5538461538461538,0.9792114695340501,0.7757474321349963,0.7716019760056457,0.9184129677182686,0.543273930896047,TimeSeriesSplit,ef_money_growth_data,pf_movement,ef_money_growth,5.5492212772369385,XGBoost,pure
ef_government_tax,0,0.992862807295797,0.9185619955979457,0.9542682926829268,0.9139784946236559,0.8186559977989729,0.6156883632089333,0.8673422597212033,0.3237912195435033,TimeSeriesSplit,ef_money_growth_data,pf_ss_disappearances_fatalities,pf_expression_direct_jailed_data,103.27478814125061,NeuralNetwork,pure
ef_government_tax,1,0.17164179104477612,0.71875,0.27710843373493976,0.9139784946236559,0.8186559977989729,0.6156883632089333,0.8673422597212033,0.3237912195435033,TimeSeriesSplit,ef_money_growth_data,pf_ss_disappearances_fatalities,pf_expression_direct_jailed_data,103.27478814125061,NeuralNetwork,pure
ef_government_tax,0,0.9882352941176471,0.9860601614086574,0.9871465295629821,0.974910394265233,0.7430300807043286,0.7323792349307447,0.9202700843727072,0.4652747318408449,TimeSeriesSplit,pf_movement,pf_ss_disappearances,ef_money_growth_data,1.414045810699463,LightGBM,pure
ef_government_tax,1,0.45714285714285713,0.5,0.4776119402985075,0.974910394265233,0.7430300807043286,0.7323792349307447,0.9202700843727072,0.4652747318408449,TimeSeriesSplit,pf_movement,pf_ss_disappearances,ef_money_growth_data,1.414045810699463,LightGBM,pure
